statefips,countyfips,countyfips2,year,month,number_schools,share_all_closed_50,share_all_closed_25,share_all_closed_75,share_elem_closed_50,share_elem_closed_25,share_elem_closed_75,share_middlehigh_closed_50,share_middlehigh_closed_25,share_middlehigh_closed_75,mean_all_change,mean_elem_change,mean_middlehigh_change,total_students,fips,county_name,state_abb,month_names,capita_covid,all_cases,per_pop,share_pop
6,1,1,2020,1,307,2.3,11.15,0.66,2.04,9.18,0,2.4,14.4,1.6,8.75,10.37,6.27,197836,06001,Alameda,CA,January,,,,
6,3,3,2020,1,2,0,0,0,0,0,0,0,0,0,71.43,71.43,71.43,93,06003,Alpine,CA,January,,,,
6,5,5,2020,1,11,0,0,0,0,0,0,0,0,0,37.86,42.54,38.29,3453,06005,Amador,CA,January,,,,
6,7,7,2020,1,74,4.17,5.56,1.39,5.26,5.26,2.63,5.56,8.33,0,27.17,21.33,35,29031,06007,Butte,CA,January,,,,
6,9,9,2020,1,22,4.76,4.76,0,7.69,7.69,0,0,0,0,40.27,37.41,42.12,5322,06009,Calaveras,CA,January,,,,
6,11,11,2020,1,20,0,5,0,0,0,0,0,8.33,0,10.72,7.72,12.07,5543,06011,Colusa,CA,January,,,,
6,13,13,2020,1,240,0.84,2.94,0,1.3,3.9,0,0.95,1.9,0,16.91,17.68,15.42,167529,06013,Contra Costa,CA,January,,,,
6,15,15,2020,1,14,0,14.29,0,0,20,0,0,22.22,0,23.21,20.12,24.76,4608,06015,Del Norte,CA,January,,,,
6,17,17,2020,1,57,0,3.51,0,0,5.41,0,0,6.67,0,20.17,22.32,13.75,26056,06017,El Dorado,CA,January,,,,
6,19,19,2020,1,312,2.58,9.35,0.65,2.43,10.19,0.49,3.42,8.9,1.37,13.81,13.46,13.28,198895,06019,Fresno,CA,January,,,,
6,21,21,2020,1,20,0,5,0,0,11.11,0,0,6.67,0,34.37,20.53,32.63,5435,06021,Glenn,CA,January,,,,
6,23,23,2020,1,76,5.33,14.67,0,7.14,16.67,0,5.88,15.69,0,18.59,16.42,17.88,14601,06023,Humboldt,CA,January,,,,
6,25,25,2020,1,65,0,3.12,0,0,5.26,0,0,2.56,0,18.99,14.19,22.09,38071,06025,Imperial,CA,January,,,,
6,27,27,2020,1,21,0,5.26,0,0,12.5,0,0,5.88,0,36.18,20.55,35.75,2917,06027,Inyo,CA,January,,,,
6,29,29,2020,1,248,0.81,7.26,0.4,1.29,7.74,0.65,0,7.14,0,20.16,22.02,17.53,174882,06029,Kern,CA,January,,,,
6,31,31,2020,1,61,0,3.28,0,0,2.78,0,0,2.63,0,25.31,25.84,27.17,27874,06031,Kings,CA,January,,,,
6,33,33,2020,1,31,0,10.34,0,0,16.67,0,0,4.35,0,18.09,8.33,23.02,8344,06033,Lake,CA,January,,,,
6,35,35,2020,1,20,0,5.26,0,0,0,0,0,7.14,0,27.97,30.94,32.94,4014,06035,Lassen,CA,January,,,,
6,37,37,2020,1,1853,1.84,11.78,0.32,1.48,9.77,0.16,2.36,13.63,0.52,7.58,7.97,8.39,1337817,06037,Los Angeles,CA,January,2.33,234,42902,1 in 42902
6,39,39,2020,1,73,1.37,6.85,0,0,5,0,2.08,8.33,0,25.04,29.29,21.79,32847,06039,Madera,CA,January,,,,
6,41,41,2020,1,74,0,5.56,0,0,6.98,0,0,5.71,0,20.88,16.54,26.95,34538,06041,Marin,CA,January,,,,
6,43,43,2020,1,13,0,23.08,0,0,20,0,0,25,0,7.08,7.29,-0.66,2321,06043,Mariposa,CA,January,,,,
6,45,45,2020,1,53,3.85,21.15,3.85,4.17,12.5,4.17,2.86,20,2.86,9.7,9.89,11.89,14251,06045,Mendocino,CA,January,,,,
6,47,47,2020,1,103,0,4.85,0,0,7.02,0,0,6.78,0,26.33,24.6,25.44,59953,06047,Merced,CA,January,,,,
6,49,49,2020,1,11,10,20,0,25,50,0,12.5,25,0,11.49,-22.7,12.11,1433,06049,Modoc,CA,January,,,,
6,51,51,2020,1,14,0,27.27,0,0,40,0,0,33.33,0,12.21,6.62,6.53,1612,06051,Mono,CA,January,,,,
6,53,53,2020,1,138,0.72,13.04,0,1.19,11.9,0,1.54,13.85,0,12.33,14.78,8.35,79499,06053,Monterey,CA,January,,,,
6,55,55,2020,1,42,4.76,16.67,0,4,16,0,9.52,23.81,0,10.05,16.32,5.87,22618,06055,Napa,CA,January,,,,
6,57,57,2020,1,41,5,15,0,9.52,19.05,0,3.57,10.71,0,15.29,13.68,19.9,11438,06057,Nevada,CA,January,,,,
6,59,59,2020,1,579,0.35,3.46,0,0.5,3.27,0,0,4.1,0,18.51,19.72,16.68,486407,06059,Orange,CA,January,0.35,11,288699,1 in 288699
6,61,61,2020,1,104,0,1.96,0,0,2.86,0,0,0,0,31.08,33.54,31.06,58229,06061,Placer,CA,January,,,,
6,63,63,2020,1,12,16.67,16.67,0,20,20,0,25,25,0,16.94,14.89,9.16,1927,06063,Plumas,CA,January,,,,
6,65,65,2020,1,460,1.09,5,0.22,1.41,5.3,0,1.94,6.31,0.49,19.04,18.72,17.99,416494,06065,Riverside,CA,January,1.54,38,65014,1 in 65014
6,67,67,2020,1,332,0,3.03,0,0,3.14,0,0,3.38,0,22.12,23.13,20.08,222976,06067,Sacramento,CA,January,,,,
6,69,69,2020,1,19,10.53,15.79,0,7.14,14.29,0,14.29,21.43,0,20.01,28.85,14.16,6854,06069,San Benito,CA,January,,,,
6,71,71,2020,1,501,0.6,5.39,0.2,0.31,2.52,0,0.5,7.92,0,17.69,20.44,15.47,388461,06071,San Bernardino,CA,January,1.79,39,55900,1 in 55900
6,73,73,2020,1,689,1.61,4.96,0.15,1.4,4.21,0,2.11,5.63,0.35,17.04,17.04,16.12,477406,06073,San Diego,CA,January,,,,
6,75,75,2020,1,106,1.89,10.38,0,2.74,10.96,0,0,7.89,0,3.98,5.17,5.46,47515,06075,San Francisco,CA,January,,,,
6,77,77,2020,1,203,1.97,8.87,0.49,1.36,8.16,0.68,2.6,9.74,0.65,18.34,19.84,16.27,136406,06077,San Joaquin,CA,January,,,,
6,79,79,2020,1,80,1.25,3.75,0,2.17,6.52,0,0,2.38,0,24.69,22.46,26.81,38350,06079,San Luis Obispo,CA,January,4.24,12,23593,1 in 23593
6,81,81,2020,1,164,0.61,6.13,0,0.94,8.49,0,0,2.5,0,16.06,11.31,21.65,89113,06081,San Mateo,CA,January,,,,
6,83,83,2020,1,113,2.65,14.16,0,2.82,15.49,0,1.96,17.65,0,12.41,10.13,12.53,72242,06083,Santa Barbara,CA,January,,,,
6,85,85,2020,1,376,0.8,5.07,0,0.86,4.74,0,0.66,5.26,0,12.92,13.09,13.13,259257,06085,Santa Clara,CA,January,0.73,14,137704,1 in 137704
6,87,87,2020,1,72,1.41,5.63,1.41,0,4.76,0,2.78,5.56,2.78,15.68,13.87,18.23,35786,06087,Santa Cruz,CA,January,,,,
6,89,89,2020,1,90,2.25,6.74,0,4.17,10.42,0,0,3.51,0,33.86,37.88,35.77,27437,06089,Shasta,CA,January,,,,
6,91,91,2020,1,7,28.57,42.86,14.29,50,50,0,20,40,20,-3.19,-22.11,4.37,397,06091,Sierra,CA,January,,,,
6,93,93,2020,1,45,11.63,13.95,6.98,7.41,11.11,3.7,13.89,16.67,8.33,20.27,22.18,14.3,5982,06093,Siskiyou,CA,January,,,,
6,95,95,2020,1,98,1.02,5.1,0,0,1.69,0,1.92,7.69,0,15,14.54,15.1,57472,06095,Solano,CA,January,2.46,11,40695,1 in 40695
6,97,97,2020,1,153,0.65,5.23,0,0.98,6.86,0,0,5.63,0,25.65,26.15,20.27,68801,06097,Sonoma,CA,January,,,,
6,99,99,2020,1,179,0.56,6.18,0,0,7.02,0,1.16,8.14,0,21.81,24.78,16.72,109185,06099,Stanislaus,CA,January,2,11,50060,1 in 50060
6,101,101,2020,1,34,0,5.88,0,0,8.33,0,0,7.41,0,34.87,32.34,34.84,19450,06101,Sutter,CA,January,,,,
6,103,103,2020,1,44,0,0,0,0,0,0,0,0,0,45.53,38.52,42.36,13464,06103,Tehama,CA,January,,,,
6,105,105,2020,1,15,0,0,0,0,0,0,0,0,0,45.87,46.49,45.87,1171,06105,Trinity,CA,January,,,,
6,107,107,2020,1,173,1.74,8.14,0,1.77,7.08,0,0.93,10.19,0,21.46,20.21,20.67,101949,06107,Tulare,CA,January,,,,
6,109,109,2020,1,26,11.54,30.77,0,9.09,36.36,0,8.33,25,0,2.11,-4.21,6.8,5688,06109,Tuolumne,CA,January,,,,
6,111,111,2020,1,215,0.47,8.37,0.47,0.76,10.61,0.76,0,5.43,0,15.67,12.69,17.52,148759,06111,Ventura,CA,January,,,,
6,113,113,2020,1,58,0,5.17,0,0,5.71,0,0,5.88,0,15.52,19.7,15.81,30245,06113,Yolo,CA,January,,,,
6,115,115,2020,1,36,0,5.56,0,0,4.17,0,0,0,0,19.12,18.91,22.61,13436,06115,Yuba,CA,January,,,,
41,1,1,2020,1,13,0,15.38,0,0,25,0,0,10,0,2.95,-5.17,7.01,3567,41001,Baker,OR,January,,,,
41,3,3,2020,1,26,0,0,0,0,0,0,0,0,0,41.37,42.16,37.75,10019,41003,Benton,OR,January,,,,
41,5,5,2020,1,114,0.88,6.19,0,1.37,6.85,0,0,3.85,0,26.54,25.81,29.81,61288,41005,Clackamas,OR,January,,,,
41,7,7,2020,1,14,0,7.14,0,0,0,0,0,10,0,44.67,50.66,34.38,5143,41007,Clatsop,OR,January,,,,
41,9,9,2020,1,19,0,0,0,0,0,0,0,0,0,43.44,61.89,30.64,7163,41009,Columbia,OR,January,,,,
