statefips,year,month,number_schools,share_all_closed_50,share_all_closed_25,share_all_closed_75,share_elem_closed_50,share_elem_closed_25,share_elem_closed_75,share_middlehigh_closed_50,share_middlehigh_closed_25,share_middlehigh_closed_75,mean_all_change,mean_elem_change,mean_middlehigh_change,total_students,state_abbrev,state_name
1,2020,1,1386,.0079537239,.030368764,.0021691974,.0088050319,.025157232,.0012578616,.0076238881,.03303685,.002541296,.48342773,.47884563,.49876249,766709,AL,ALABAMA
2,2020,1,392,.062015504,.13436693,.010335918,.07526882,.1577061,.014336918,.083333336,.16666667,.015873017,.19993368,.16937861,.16960929,121065,AK,ALASKA
4,2020,1,1860,.014099783,.057483733,.0010845987,.0090016369,.044189852,0,.016638935,.069051579,.0016638935,.3208079,.34174141,.29632863,1104296,AZ,ARIZONA
5,2020,1,1006,.0060060062,.029029028,.002002002,.0074626864,.027985075,.0037313432,.0075187972,.031954888,0,.41612461,.41298512,.41176841,468587,AR,ARKANSAS
6,2020,1,8999,.014411798,.076974638,.0026812647,.013689014,.072306074,.0015795015,.017200191,.086717628,.0040611564,.16075408,.1624369,.16260062,5853690,CA,CALIFORNIA
8,2020,1,1803,.0089585669,.041433372,.0061590145,.0080213901,.042780749,.0044563278,.014656144,.043968432,.011273957,.33110058,.33789322,.32443002,879499,CO,COLORADO
9,2020,1,1079,.011204482,.042950515,.0018674136,.011363637,.048701297,.0032467532,.0081967209,.032786883,0,.351886,.33646166,.36872402,512299,CT,CONNECTICUT
10,2020,1,204,0,.019607844,0,0,.022900764,0,0,.021052632,0,.38108963,.3627519,.37130648,131123,DE,DELAWARE
11,2020,1,194,.12435233,.63730568,.010362694,.12878788,.68181819,0,.12121212,.61616164,.02020202,-.28866586,-.29405415,-.28999811,76570,DC,DISTRICT OF COLUMBIA
12,2020,1,3856,.011497256,.049647242,.0015678076,.0089666955,.039282665,.0012809564,.014205987,.061390158,.00152207,.26817167,.27894557,.25417149,2835482,FL,FLORIDA
13,2020,1,2237,.0085240016,.032750111,.0017945267,.0054263566,.027906977,.0007751938,.012807881,.038423646,.0029556651,.35865733,.36399844,.35049766,1708226,GA,GEORGIA
15,2020,1,268,.0037453184,.041198503,0,0,.037433155,0,.0093457941,.046728972,0,.3251414,.30630299,.3490243,175104,HI,HAWAII
16,2020,1,691,.0087463558,.040816326,0,.00973236,.05109489,0,.0082191778,.035616439,0,.36203799,.38210925,.34495774,300301,ID,IDAHO
17,2020,1,3903,.0064316955,.018008746,.0010290713,.0047827819,.019928258,.00079713034,.0069156294,.016597511,.0013831259,.48370212,.46250296,.48727912,1977167,IL,ILLINOIS
18,2020,1,1824,.0071507152,.022552256,.00220022,.0078465566,.026155187,.0017436792,.0059594754,.019070322,.0023837902,.52462655,.50281209,.55709136,1030859,IN,INDIANA
19,2020,1,1307,.0061585833,.022324866,.0015396458,.0041724616,.019471489,0,.0079617836,.028662421,.0031847134,.53251362,.54172331,.52144456,493937,IA,IOWA
20,2020,1,1312,.00382263,.02293578,.001529052,.0038560412,.020565553,.001285347,.0030441401,.02739726,.00152207,.37505248,.37273756,.38376606,485969,KS,KANSAS
21,2020,1,1386,.0079652425,.02679218,.0021723388,.0049079754,.028220858,.0024539877,.01161103,.030478954,.0014513788,.45848376,.4445309,.46506509,718006,KY,KENTUCKY
22,2020,1,1277,.013312451,.036805011,.0023492561,.013173653,.037125748,.0023952096,.012838801,.035663337,.0014265336,.41649893,.4003332,.44576895,682986,LA,LOUISIANA
23,2020,1,559,.014414415,.045045044,.0036036037,.022662889,.062322944,.0056657223,.0069204154,.031141868,0,.43656322,.39106205,.48372391,174632,ME,MAINE
24,2020,1,1365,.010997067,.053519063,.004398827,.01330377,.057649668,.0044345898,.011725293,.0519263,.0083752098,.27545795,.26560673,.26955047,877783,MD,MARYLAND
25,2020,1,1744,.010362694,.032815199,.0028785262,.010018215,.038251366,.0018214936,.011583012,.025740026,.0051480052,.35780185,.32422435,.39110443,928410,MA,MASSACHUSETTS
26,2020,1,3261,.0074096941,.022846557,.0021611608,.0088819228,.019331243,.0020898641,.0071862908,.026533997,.0033167496,.50014991,.50743586,.48397309,1493613,MI,MICHIGAN
27,2020,1,1991,.010791367,.031860225,.0030832477,.0086289551,.024928093,.0028763183,.014097745,.041353382,.0037593986,.47622287,.49785045,.45364496,869970,MN,MINNESOTA
28,2020,1,960,.0083682006,.029288704,.0010460251,.0093632955,.029962547,.0018726592,.0056179776,.029962547,0,.45254508,.43504131,.47204399,501039,MS,MISSISSIPPI
29,2020,1,2216,.007269423,.039073147,.0013630168,.0084811104,.037779491,.0023130302,.0062166965,.045293074,0,.40403372,.38344133,.42525503,899340,MO,MISSOURI
30,2020,1,690,.015060241,.070783131,.001506024,.027522936,.073394492,0,.0078740157,.073490813,.0026246719,.37053612,.34737143,.38369331,140602,MT,MONTANA
31,2020,1,585,.0034423408,.013769363,.0017211704,.0026595744,.015957447,0,.0041322312,.012396694,.0041322312,.42728108,.43395925,.40753675,243867,NE,NEBRASKA
32,2020,1,616,.011513158,.0625,.0016447369,.01055409,.060686015,.0026385225,.015267176,.061068702,.0038167939,.24333386,.25597644,.23115572,448490,NV,NEVADA
33,2020,1,484,.0062111802,.022774328,0,.0064516128,.032258064,0,.0041152262,.0082304524,0,.42691836,.42748207,.46419472,187878,NH,NEW HAMPSHIRE
34,2020,1,2309,.0065132435,.026052974,.0021710813,.0058365758,.026588846,.0019455253,.0062056738,.026595745,.0017730496,.30619702,.28936684,.31198505,1277520,NJ,NEW JERSEY
35,2020,1,722,.016736401,.079497911,.0027894003,.01438849,.064748198,.0023980816,.017910447,.095522389,.0029850747,.28720012,.32613012,.23674834,305774,NM,NEW MEXICO
36,2020,1,4476,.0076233186,.03295964,.00089686096,.0057383319,.03634277,.0011476664,.010486578,.031879194,.00083892618,.30811265,.2927146,.31976262,2587108,NY,NEW YORK
37,2020,1,2552,.0090266876,.032967035,.0039246469,.010423453,.037133552,.0052117263,.010551948,.033279222,.0048701297,.31224459,.30095643,.31579253,1548541,NC,NORTH CAROLINA
38,2020,1,463,.019650655,.065502182,.0043668123,.022140222,.077490777,.0073800739,.031496063,.078740157,.0078740157,.3382006,.3339262,.32756823,107207,ND,NORTH DAKOTA
39,2020,1,3354,.01018269,.027852651,.002096436,.011615628,.032206971,.0036958817,.010593221,.029661017,.00052966102,.51592064,.49139085,.52216977,1686866,OH,OHIO
40,2020,1,1671,.010271903,.04712991,0,.011702128,.041489363,0,.011741683,.057729941,0,.32132059,.31407115,.34203267,674003,OK,OKLAHOMA
41,2020,1,1206,.013344454,.036697246,.0041701416,.01589404,.038410597,.0039735101,.015822785,.042721517,.0079113925,.34563962,.35267103,.32798693,563104,OR,OREGON
42,2020,1,2751,.010587806,.026286965,.0018254837,.011363637,.028110048,.0023923444,.0084388182,.022503516,.0014064697,.4467147,.41618171,.45977888,1628142,PA,PENNSYLVANIA
44,2020,1,297,.0067340066,.033670034,.0033670033,.010928961,.032786883,.0054644807,0,.032520324,0,.32689142,.32105941,.3208386,140318,RI,RHODE ISLAND
45,2020,1,1203,.011666667,.025833333,.0049999999,.0068399454,.017783858,.0027359782,.016333938,.034482758,.0054446459,.45112941,.44780284,.46006089,766050,SC,SOUTH CAROLINA
46,2020,1,585,.010638298,.028368793,.0017730496,.0075471699,.033962265,0,.013477089,.032345012,.0026954177,.47708884,.4378829,.48363686,131580,SD,SOUTH DAKOTA
47,2020,1,1744,.0069005177,.029327199,.0023001726,.0037986704,.020892687,.00094966759,.0092783505,.040206186,.0030927835,.39004007,.41203094,.39652824,1003847,TN,TENNESSEE
48,2020,1,8210,.0078258747,.030569822,.0013450722,.0068393783,.026113989,.001865285,.010545268,.038837448,.0010288066,.32718241,.34306338,.31177577,5188147,TX,TEXAS
49,2020,1,937,.010752688,.041935485,.0010752688,.011217949,.043269232,0,.010152284,.040609136,.002538071,.26275074,.27882418,.2330205,638267,UT,UTAH
50,2020,1,288,.017482517,.080419578,.01048951,.018072288,.078313254,.0060240962,.0095238099,.047619049,0,.31185487,.30459249,.40265372,77687,VT,VERMONT
51,2020,1,1876,.0037333334,.015466667,.00053333334,.0026385225,.014951627,.00087950745,.0053120852,.013280213,0,.36317205,.35126573,.39433855,1265813,VA,VIRGINIA
53,2020,1,2129,.010372465,.040075436,.0042432817,.0078308536,.039154269,.0031323414,.013820335,.041461006,.0049358341,.31981277,.3368358,.31699726,1069690,WA,WASHINGTON
54,2020,1,645,.021806853,.043613706,.0062305294,.032581452,.052631579,.010025063,.006289308,.034591194,0,.47496372,.43881851,.53947002,258106,WV,WEST VIRGINIA
55,2020,1,2121,.0071258908,.01567696,.0019002375,.007275667,.016168149,.0016168149,.0063694268,.01455869,.0027297544,.50751173,.51339555,.49563238,851021,WI,WISCONSIN
56,2020,1,328,.021875,.043749999,.0062500001,.021505376,.048387095,.0053763441,.023952097,.041916169,.011976048,.42099851,.41646278,.4088504,93149,WY,WYOMING
1,2020,2,1383,.013748191,.041244574,.0021707669,.015056462,.043914679,.0012547051,.011464968,.042038217,.0025477707,.39273825,.38390997,.41430637,762955,AL,ALABAMA
2,2020,2,393,.078534029,.18324608,.013089005,.094890513,.20437956,.018248174,.10569106,.23577236,.020325202,.11992964,.11184921,.10086895,121979,AK,ALASKA
4,2020,2,1853,.023952097,.096352749,.0027218291,.01879085,.087418303,.0016339869,.027615063,.11297071,.0025104603,.20091161,.19697577,.19475017,1107048,AZ,ARIZONA
5,2020,2,1004,.0099900104,.052947052,.00099900097,.0074211503,.044526901,.0018552876,.013207547,.060377359,0,.3292326,.31934273,.34020773,466100,AR,ARKANSAS
6,2020,2,9005,.01587479,.10173281,.0026830633,.013696224,.10061458,.0026338894,.020982355,.10491178,.0030996662,.12699944,.11179187,.15177567,5860355,CA,CALIFORNIA
8,2020,2,1800,.016797312,.06550952,.0050391937,.018766755,.067024127,.0053619305,.024691358,.074074075,.0089786761,.22715719,.22147393,.22731814,881399,CO,COLORADO
9,2020,2,1076,.01314554,.054460093,.0018779343,.014729951,.062193125,.0032733225,.006185567,.037113402,0,.28253633,.25520453,.31848636,511431,CT,CONNECTICUT
10,2020,2,203,.014778325,.029556651,.0049261083,.015384615,.030769231,.0076923077,.010526316,.021052632,0,.32801029,.30410689,.34836778,130365,DE,DELAWARE
11,2020,2,194,.046391752,.33505154,.005154639,.053846154,.35384616,.0076923077,.03809524,.32380953,.0095238099,-.10302169,-.12507321,-.099809207,76925,DC,DISTRICT OF COLUMBIA
12,2020,2,3841,.019674711,.081059813,.0028856243,.016702356,.073233403,.0021413276,.023991833,.091373153,.0040837163,.14368409,.14023013,.14948118,2844227,FL,FLORIDA
13,2020,2,2232,.0098743271,.051615801,.0017953322,.01006192,.047213621,.0015479876,.010837439,.060098521,.0029556651,.27277184,.25429484,.29229495,1701728,GA,GEORGIA
15,2020,2,267,.0074906368,.048689138,0,.010695187,.04812834,0,.0093457941,.046728972,0,.22438382,.20214266,.26952097,174730,HI,HAWAII
16,2020,2,690,.020378457,.064046577,.0029112082,.029268293,.075609758,.0024390244,.010989011,.060439561,.0027472528,.29240403,.29691905,.29619369,297083,ID,IDAHO
17,2020,2,3904,.010020555,.039054472,.0020554985,.011966494,.041483846,.0023932988,.0087155961,.041743118,.0022935779,.3239291,.29561767,.33984968,1974814,IL,ILLINOIS
18,2020,2,1822,.010456797,.033021465,.0038525041,.010416667,.035590276,.004340278,.010701546,.029726516,.0023781213,.34379604,.31402212,.38137567,1029503,IN,INDIANA
19,2020,2,1307,.011556241,.02696456,.0038520801,.011157601,.030683404,.0027894003,.011217949,.020833334,.0048076925,.50306785,.46254838,.55545753,493966,IA,IOWA
20,2020,2,1310,.0038255546,.022188216,.0015302219,.0038809832,.02457956,.0012936611,.0030441401,.01674277,.00152207,.3805542,.37045795,.39560252,486184,KS,KANSAS
